Nama Toko;Merek;Model/Spesifikasi;Harga;
Israf Komputer Kendari;ACER;ASPIRE 5 A514-56P-57Q8 CORE i5 1335 / INTEL IRISXe / RAM 8GB SSD 512GB / WIN 11 / 14'';Rp 9.700.000;
Israf Komputer Kendari;ACER;ASPIRE ONE INTEL CORE i5 1035G4 RAM 8GB SSD 512GB / WIN 11 / FHD;Rp 8.000.000;
Israf Komputer Kendari;ACER;ASPIRE LITE AL14 INTEL CORE i5 / RAM 8GB SSD 512GB / 14'' INCH / WIN 11 OHS;Rp 10.000.000;
Israf Komputer Kendari;ACER;NITRO V15 515 42G CORE i5 13420H / RAM 8GB SSD 512GB / RTX 2050 4GB;Rp 12.300.000;
Israf Komputer Kendari;ACER;NITRO V 15 INTEL CORE i9 GEN 13 / RAM 16GB SSD 512GB / RTX 4060 8GB / GARANSI RESMI ON;Rp 17.800.000;
Israf Komputer Kendari;LENOVO;IDEAPAD SLIM 1 14IGL7-6YID CELERON N4020 / RAM 8 DDR4 / SSD 256 / WIN11 OHS / FHD 14';Rp 5.200.000;
Israf Komputer Kendari;LENOVO;IDEAPAD SLIM 1 14IGL7-6YID CELERON N4020 / RAM 8 DDR4 / SSD 512 / WIN11 OHS / FHD 14';Rp 5.900.000;
Israf Komputer Kendari;LENOVO;V14 G3 IAP-CBID CORE i3 1215GU / RAM 4 DDR4 / SSD 256 / WIN11 OHS / FHD 14';Rp 5.800.000;
Israf Komputer Kendari;LENOVO;V14 G3 IAP-CBID CORE i3 1215GU / RAM 8 DDR4 / SSD 256 / WIN11 OHS / FHD 14';Rp 6.800.000;
Israf Komputer Kendari;LENOVO;IDEAPAD SLIM 3 INTEL CORE i3 1215GU / RAM 8 DDR4 / SSD 512 / WIN11 OHS / FHD 14';Rp 7.300.000;
Israf Komputer Kendari;LENOVO;V14-AMD-MUID AMD RYZEN 3 7320U / RAM 8 DDR4 / SSD 256 / WIN11 OHS / FHD 14';Rp 6.500.000;
Israf Komputer Kendari;LENOVO;IDEAPAD SLIM 1-AMD-MUID AMD RYZEN 3 7320U / RAM 8 DDR4 / SSD 512 / WIN11 OHS / FHD 14';Rp 6.700.000;
Israf Komputer Kendari;LENOVO;V14-G4 AMN-PDID ATHLON SILVER RAM 8 DDR4 / SSD 256 / WIN11 OHS / FHD 14';Rp 5.500.000;
Israf Komputer Kendari;LENOVO;IDEAPAD SLIM 3 AMD RYZEN 5 7535U / RAM 8GB / SSD 512GB / WIN 11 + OHS / HD 14';Rp 8.900.000;
Israf Komputer Kendari;LENOVO;IDEAPAD SLIM 3 CORE 5 12350H / RAM 8GB SSD 512GB / WIN 11 OHS / FHD 14'';Rp 9.700.000;
Israf Komputer Kendari;LENOVO;LOQ 15IRX9 CORE i5 RAM 12GB / SSD 512GB / RTX 3050 4GB / WIN 11 OHS / FHD 15';Rp 14.000.000;
Israf Komputer Kendari;LENOVO;LOQ 15IRX9 CORE i7 RAM 8GB / SSD 512GB / RTX 3050 4GB / WIN 11 OHS / FHD 15';Rp 17.000.000;
Israf Komputer Kendari;HP;14S-DQ5118TU CORE i5 / RAM 8 DDR4 / SSD 512 / IRIS XE / WIN 11 / FHD 14';Rp 9.500.000;
Israf Komputer Kendari;HP;14S-FQ1011AU AMD RYZEN 3 / RAM 8GB SSD 512GB / WIN 11 OHS / FHD 14'';Rp 7.200.000;
Israf Komputer Kendari;HP;14S-FQ1135AU AMD RYZEN 5 5500 / RAM 8GB SSD 512GB / WIN 11OHS / FHD 14';Rp 8.800.000;
Israf Komputer Kendari;HP;14S-DQ5115TU CORE I3 1215 RAM 8GB SSD 512GB / WIN 11 OHS / OFFICE 2021 / FHD 14'';Rp 7.500.000;
Israf Komputer Kendari;HP;14S-DQ3111TU CELERON N4500 / RAM 8GB SSD 512GB / WIN 11 OHS / FHD 14'';Rp 5.850.000;
Israf Komputer Kendari;HP;14S-DQ3111TU CELERON N4500 / RAM 8GB SSD 256GB / WIN 11 OHS / FHD 14'';Rp 5.500.000;
Israf Komputer Kendari;HP;VICTUS 15-fb1888AX AMD RYZEN 5 / RAM 8GB SSD 512GB / RTX 2050 4GB;Rp 12.500.000;
Israf Komputer Kendari;MSI;THIN GF63-12UCX CORE i5 / RAM 8GB / SSD 512GB / RTX 2050 4GB / WIN 11 OHS / FHD 15';Rp 11.000.000;
Israf Komputer Kendari;MSI;MODERN 14 C12MO / CORE i5 1235U / RAM 8GB / SSD 512GB / IRISXE GRAPHICS / WIN 11 OHS / FHD;Rp 9.200.000;
Israf Komputer Kendari;MSI;THIN 15 B12UCX / INTEL CORE i5 11400H / RAM 8GB SSD 512GB / RTX 3050 4GB / WIN 11 OHS;Rp 11.450.000;
Israf Komputer Kendari;MSI;THIN 15 B12UCX / INTEL CORE i7 12650H / RAM 8GB SSD 512GB / RTX 2050 4GB / WIN 11 OHS;Rp 12.700.000;
Israf Komputer Kendari;AXIOO;SLIMBOOK HYPE 10 / CELERON N4020 / RAM 8GB SSD 256GB / WIN 10 / UHD 14'';Rp 3.500.000;
Israf Komputer Kendari;AXIOO;SLIMBOOK HYPE 3 / CORE i3 GEN 10 / RAM 8GB SSD 256GB / WIN 10 / UHD 14'';Rp 5.200.000;
Israf Komputer Kendari;AXIOO;SLIMBOOK HYPE 5 / AMD RYZEN 5 3500U / RAM 8GB SSD 256GB / WIN 10 / UHD 14'';Rp 5.250.000;
Israf Komputer Kendari;AXIOO;SLIMBOOK HYPE 5 / AMD RYZEN 5 5500U / RAM 8GB SSD 256GB / WIN 10 / UHD 14'';Rp 6.200.000;
Israf Komputer Kendari;AXIOO;SLIMBOOK HYPE 5 / CORE i5 GEN 10 / RAM 8GB SSD 512GB / WIN 10 / UHD 14'';Rp 6.200.000;
Israf Komputer Kendari;AXIOO;HYPE 7 AMD RYZEN 7 5700 / RAM 16GB SSD 512GB / WIN 11 / FHD 14'';Rp 8.000.000;
Israf Komputer Kendari;AXIOO;"MYBOOK PRO K7,2 INTEL CORE i7 / RAM 16GB SSD 1TB / FHD 14'' / INTEL IRISXe / TKDN / WIN 11""";Rp 16.000.000;
Israf Komputer Kendari;ADVAN;SOULMATE INTEL CELERON N4020 / RAM 8GB SSD 128GB / WIN 11 / HD 14' INCH;Rp 3.200.000;
Israf Komputer Kendari;ADVAN;SOULMATE AMD RYZEN 5 3500 / RAM 8GB SSD 256GB / WIN 11 / 14' INCH;Rp 5.700.000;
;;;;
